name,team_abbr,season_year,position,appearances,goals,assists,clean_sheets,headshot,league
A.J. Cochran,HDY,2015,DF,19,0,0,6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/AJ_Cochran.jpg/330px-AJ_Cochran.jpg,
A.J. Cochran,HDY,2016,DF,7,0,0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/AJ_Cochran.jpg/330px-AJ_Cochran.jpg,
Aaron Calver,SYD,2017,DF,6,0,0,5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg/330px-230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg,
Aaron Calver,SYD,2019,DF,21,3,2,10,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg/330px-230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg,
Aaron Calver,WUN,2020,DF,16,1,1,6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg/330px-230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg,
Aaron Calver,WUN,2021,DF,16,1,1,6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg/330px-230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg,
Aaron Calver,WUN,2022,DF,25,0,1,9,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg/330px-230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28Aaron_Calver%29.jpg,
Aaron Mokoena,BRO,2006,DF,16,0,1,9,https://upload.wikimedia.org/wikipedia/commons/2/2a/Aaron_Mokoena.jpg,
Aaron Mokoena,BRO,2007,DF,22,0,0,14,https://upload.wikimedia.org/wikipedia/commons/2/2a/Aaron_Mokoena.jpg,
Aaron Mokoena,BRO,2008,DF,27,0,0,12,https://upload.wikimedia.org/wikipedia/commons/2/2a/Aaron_Mokoena.jpg,
Aaron Mokoena,BRO,2009,DF,18,0,0,7,https://upload.wikimedia.org/wikipedia/commons/2/2a/Aaron_Mokoena.jpg,
Aaron Mokoena,BRO,2010,DF,18,0,0,7,https://upload.wikimedia.org/wikipedia/commons/2/2a/Aaron_Mokoena.jpg,
Aaron Mooy,SMI,2011,MF,13,0,2,7,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg/330px-20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg,
Aaron Mooy,SMI,2012,MF,8,1,2,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg/330px-20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg,
Aaron Mooy,WSY,2014,MF,22,1,4,8,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg/330px-20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg,
Aaron Mooy,HTO,2018,MF,36,4,3,10,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg/330px-20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg,
Aaron Mooy,HTO,2019,MF,29,3,1,5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg/330px-20180601_FIFA_Friendly_Match_Czech_Republic_vs._Australia_Aaron_Mooy_850_0283.jpg,
